name,state,rating,elevation,ascension,time,description,date,url
Mount Royal,Colorado,4.0,10502.0,1377.0,03:03,It is windy at the top and overlooks the highway.,2024-07-02,https://www.alltrails.com/trail/us/colorado/royal-mountain
Mount Taylor,New Mexico,3.5,11305.0,1998.0,05:30,Its a long walk with cool views about halfway up.,2024-12-17,https://www.alltrails.com/trail/us/new-mexico/mount-taylor-via-gooseberry-springs-trail
